                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.51541,                0.40299,                0.97643,                0.87877,                0.81095,                0.88928,                0.49124,                 1.4686,                0.93943,                  1.282,               0.000878,               0.000878,               0.000878
                     88,                0.52307,                0.45003,                0.99512,                0.82446,                0.84122,                0.88391,                0.47525,                 1.4924,                0.96144,                 1.2797,              0.0008648,              0.0008648,              0.0008648
                     89,                0.48539,                0.41628,                0.96006,                 0.8241,                0.86567,                0.89578,                0.47317,                 1.5298,                0.97952,                 1.2841,              0.0008516,              0.0008516,              0.0008516
                     90,                0.47367,                0.39628,                0.97613,                0.88949,                 0.9204,                 0.9569,                0.54595,                  1.385,                0.84786,                 1.2422,              0.0008384,              0.0008384,              0.0008384
                     91,                0.52302,                 0.4175,                0.99415,                0.92497,                0.91996,                0.96623,                0.57065,                 1.3209,                  0.783,                 1.1974,              0.0008252,              0.0008252,              0.0008252
                     92,                0.52733,                0.41487,                 1.0211,                0.93344,                0.90707,                 0.9419,                0.56406,                 1.3032,                0.77859,                 1.1792,               0.000812,               0.000812,               0.000812
                     93,                0.47936,                0.39029,                0.97637,                0.94035,                0.91542,                0.95098,                0.54491,                 1.3989,                0.76354,                 1.2404,              0.0007988,              0.0007988,              0.0007988
                     94,                 0.4959,                0.42026,                0.98817,                0.92049,                0.92155,                0.94878,                0.55821,                 1.3424,                0.76499,                 1.1981,              0.0007856,              0.0007856,              0.0007856
                     95,                0.45988,                0.36843,                 0.9794,                0.87373,                 0.9005,                0.92541,                0.54045,                 1.3232,                  0.806,                 1.1735,              0.0007724,              0.0007724,              0.0007724
                     96,                0.50206,                0.39047,                0.98758,                0.90728,                0.87626,                0.92541,                0.55567,                 1.3091,                0.74159,                 1.1619,              0.0007592,              0.0007592,              0.0007592
                     97,                0.47186,                0.37967,                  0.962,                0.87734,                 0.9005,                0.93332,                0.56535,                 1.3076,                0.75037,                 1.1843,               0.000746,               0.000746,               0.000746
                     98,                0.48577,                0.42621,                 1.0002,                0.85383,                0.89552,                0.90749,                0.56309,                 1.2696,                0.81715,                 1.1639,              0.0007328,              0.0007328,              0.0007328
                     99,                0.45514,                0.40532,                0.97807,                0.87669,                0.85075,                0.89272,                0.54696,                 1.3027,                0.85495,                 1.1642,              0.0007196,              0.0007196,              0.0007196
                    100,                0.49384,                0.38411,                 1.0058,                0.85639,                0.86041,                0.92422,                0.55255,                 1.3457,                0.82251,                 1.1849,              0.0007064,              0.0007064,              0.0007064
                    101,                0.47472,                0.37904,                0.99174,                0.88238,                0.87065,                0.93513,                0.53564,                 1.4122,                0.88454,                 1.2381,              0.0006932,              0.0006932,              0.0006932
                    102,                 0.4686,                0.38127,                0.97047,                0.86368,                0.87065,                0.92871,                0.52433,                 1.4414,                0.87097,                 1.2517,                0.00068,                0.00068,                0.00068
                    103,                0.47665,                0.37319,                0.96618,                0.87181,                0.87562,                0.93232,                0.52838,                 1.4205,                0.83741,                 1.2288,              0.0006668,              0.0006668,              0.0006668
                    104,                0.44401,                0.36715,                0.95333,                0.85041,                0.84853,                0.90163,                0.50419,                 1.4233,                0.88479,                 1.2265,              0.0006536,              0.0006536,              0.0006536
                    105,                0.46857,                0.37955,                0.97526,                0.80565,                0.84557,                0.86608,                0.48029,                 1.4264,                 1.0127,                 1.2356,              0.0006404,              0.0006404,              0.0006404
                    106,                0.44013,                0.36775,                0.95847,                0.86537,                0.85075,                0.89945,                0.53452,                 1.3327,                  0.936,                 1.1895,              0.0006272,              0.0006272,              0.0006272
                    107,                0.45918,                0.36615,                0.96751,                0.94699,                0.79989,                0.91508,                0.55564,                 1.3222,                0.88617,                 1.1863,               0.000614,               0.000614,               0.000614
                    108,                0.43359,                0.36791,                0.96145,                0.96956,                0.81095,                0.93058,                 0.5523,                 1.3751,                0.84491,                 1.2197,              0.0006008,              0.0006008,              0.0006008
                    109,                0.44111,                 0.3553,                0.94405,                0.97014,                0.82587,                0.93982,                0.57331,                 1.3399,                0.79761,                  1.209,              0.0005876,              0.0005876,              0.0005876
                    110,                0.44105,                0.34572,                 0.9693,                0.96692,                 0.8209,                0.93701,                0.58525,                  1.306,                0.82788,                 1.1873,              0.0005744,              0.0005744,              0.0005744
                    111,                0.46141,                0.36154,                0.95689,                0.95406,                0.83085,                0.93504,                0.58188,                  1.294,                0.83901,                 1.1907,              0.0005612,              0.0005612,              0.0005612
                    112,                0.41835,                0.34659,                0.95468,                0.95519,                0.83085,                0.94185,                0.58113,                 1.3153,                0.79794,                 1.2013,               0.000548,               0.000548,               0.000548
                    113,                0.42066,                0.33573,                 0.9659,                0.85951,                0.91311,                0.94306,                 0.5635,                 1.3824,                0.80206,                 1.2488,              0.0005348,              0.0005348,              0.0005348
                    114,                0.45247,                0.34669,                0.96535,                0.91009,                0.86567,                0.93915,                0.55878,                 1.4167,                0.79519,                 1.2708,              0.0005216,              0.0005216,              0.0005216
                    115,                0.41773,                0.34063,                0.94429,                0.91783,                0.85075,                0.93713,                0.55571,                 1.4102,                0.81272,                   1.25,              0.0005084,              0.0005084,              0.0005084
                    116,                0.43595,                0.36584,                0.93688,                0.89169,                0.87562,                0.94072,                 0.5663,                 1.3503,                0.81016,                 1.2117,              0.0004952,              0.0004952,              0.0004952
                    117,                0.44297,                0.35143,                0.95811,                0.86876,                0.88924,                0.93611,                0.55629,                  1.377,                0.82191,                 1.2316,               0.000482,               0.000482,               0.000482
                    118,                0.43072,                0.33619,                0.95656,                0.92682,                0.82587,                0.92849,                0.53709,                 1.4224,                0.84123,                 1.2442,              0.0004688,              0.0004688,              0.0004688
                    119,                 0.4312,                0.34037,                0.94628,                0.95657,                  0.801,                0.92441,                0.56517,                 1.3271,                0.83531,                 1.1938,              0.0004556,              0.0004556,              0.0004556
                    120,                0.43554,                0.34884,                0.95908,                0.90872,                 0.8408,                0.92431,                0.57486,                 1.2923,                0.81935,                 1.1702,              0.0004424,              0.0004424,              0.0004424
                    121,                 0.4476,                 0.3561,                0.95923,                 0.9014,                0.86421,                0.92981,                 0.5635,                 1.3282,                  0.795,                 1.1963,              0.0004292,              0.0004292,              0.0004292
                    122,                0.42747,                0.34767,                0.93271,                0.89939,                0.88951,                0.94283,                0.54779,                 1.4118,                0.81364,                 1.2581,               0.000416,               0.000416,               0.000416
                    123,                0.40757,                 0.3286,                0.95306,                0.91959,                 0.9103,                0.95754,                0.57365,                 1.3725,                0.80627,                 1.2484,              0.0004028,              0.0004028,              0.0004028
                    124,                0.42311,                 0.3327,                0.95372,                0.97175,                0.85577,                0.95548,                0.58761,                 1.3242,                0.75853,                 1.2031,              0.0003896,              0.0003896,              0.0003896
                    125,                0.40174,                0.34171,                0.93016,                0.96062,                0.88557,                0.95372,                0.55468,                 1.4418,                0.76911,                 1.2523,              0.0003764,              0.0003764,              0.0003764
                    126,                0.42079,                0.33456,                0.95396,                0.98307,                 0.8665,                0.95272,                0.53933,                 1.5001,                0.79092,                 1.2854,              0.0003632,              0.0003632,              0.0003632
                    127,                0.39456,                0.31049,                0.94702,                0.97876,                0.87065,                0.95222,                0.55073,                 1.4436,                 0.7908,                 1.2534,                0.00035,                0.00035,                0.00035
                    128,                0.41411,                0.33122,                0.94796,                0.93633,                0.87796,                0.94841,                0.56228,                 1.3734,                0.79544,                 1.2112,              0.0003368,              0.0003368,              0.0003368
                    129,                0.39696,                0.32744,                0.93322,                0.92544,                0.86454,                0.94683,                0.55773,                  1.378,                0.81104,                 1.2112,              0.0003236,              0.0003236,              0.0003236
                    130,                0.43693,                0.33752,                0.94412,                0.86993,                0.89839,                0.93983,                0.53723,                 1.4438,                0.83937,                 1.2606,              0.0003104,              0.0003104,              0.0003104
                    131,                0.38053,                 0.3123,                0.93985,                0.88089,                0.88557,                0.92798,                0.53617,                 1.4482,                0.84467,                 1.2725,              0.0002972,              0.0002972,              0.0002972
