                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.68975,                0.49077,                 1.0523,                0.85036,                  0.933,                0.96514,                0.59945,                 1.2875,                0.73525,                 1.1363,              0.0015842,              0.0015842,              0.0015842
                     66,                0.65197,                0.46122,                  1.034,                0.90944,                0.94925,                0.95952,                0.57409,                 1.4096,                0.69813,                 1.2125,              0.0015776,              0.0015776,              0.0015776
                     67,                0.63713,                0.45286,                 1.0196,                 0.9769,                0.97015,                0.98855,                0.62023,                 1.2742,                0.53856,                 1.1391,               0.001571,               0.001571,               0.001571
                     68,                 0.6456,                0.47319,                 1.0347,                0.98949,                0.93714,                0.98244,                0.60859,                 1.2988,                0.64633,                  1.143,              0.0015644,              0.0015644,              0.0015644
                     69,                0.64722,                0.45555,                 1.0363,                0.92239,                  0.887,                0.96871,                 0.5862,                 1.3296,                0.69683,                 1.1985,              0.0015578,              0.0015578,              0.0015578
                     70,                0.65791,                0.49165,                 1.0282,                 0.8708,                0.97015,                0.96383,                0.58114,                 1.3477,                0.68792,                 1.1767,              0.0015512,              0.0015512,              0.0015512
                     71,                0.66545,                0.46605,                 1.0443,                0.90289,                0.92513,                0.96038,                0.58798,                 1.3253,                0.70055,                 1.1712,              0.0015446,              0.0015446,              0.0015446
                     72,                0.66043,                0.47579,                 1.0466,                0.96061,                0.88557,                0.95727,                0.59975,                 1.3152,                0.64971,                 1.1682,               0.001538,               0.001538,               0.001538
                     73,                0.64757,                0.46487,                 1.0437,                0.95856,                0.92054,                0.96768,                0.57158,                 1.3824,                0.66266,                 1.1986,              0.0015314,              0.0015314,              0.0015314
                     74,                0.64206,                0.44195,                 1.0245,                0.96999,                0.96487,                0.98988,                0.61106,                 1.2916,                0.57488,                 1.1611,              0.0015248,              0.0015248,              0.0015248
                     75,                0.63238,                0.43756,                 1.0149,                0.90952,                0.93532,                0.96667,                0.60353,                 1.3275,                0.64552,                 1.1713,              0.0015182,              0.0015182,              0.0015182
                     76,                0.63438,                0.44207,                 1.0122,                0.93171,                0.93532,                0.97802,                0.62144,                 1.3111,                0.64014,                 1.1455,              0.0015116,              0.0015116,              0.0015116
                     77,                0.63418,                0.45421,                 1.0153,                0.99478,                 0.9487,                0.99111,                0.62807,                 1.2473,                 0.5769,                 1.1201,               0.001505,               0.001505,               0.001505
                     78,                0.61901,                 0.4251,                 1.0259,                0.94943,                0.93409,                  0.978,                0.56085,                  1.446,                0.69676,                 1.2534,              0.0014984,              0.0014984,              0.0014984
                     79,                0.64329,                0.46022,                 1.0254,                0.94631,                0.93035,                0.97833,                 0.6214,                 1.2886,                0.60243,                 1.1722,              0.0014918,              0.0014918,              0.0014918
                     80,                0.64035,                0.42615,                 1.0164,                0.94166,                0.89055,                0.96611,                0.61629,                 1.2611,                0.63932,                  1.154,              0.0014852,              0.0014852,              0.0014852
                     81,                0.61413,                0.41204,                 1.0081,                0.97345,                0.91195,                0.96445,                0.60835,                 1.2928,                0.67545,                 1.1783,              0.0014786,              0.0014786,              0.0014786
                     82,                0.60937,                0.41921,                 1.0161,                0.95053,                0.95602,                0.98001,                0.62327,                 1.3051,                0.56196,                 1.1939,               0.001472,               0.001472,               0.001472
                     83,                0.62045,                0.42309,                 1.0193,                0.96915,                0.93783,                0.97753,                0.58569,                 1.3133,                0.58645,                 1.1706,              0.0014654,              0.0014654,              0.0014654
                     84,                0.63769,                0.42222,                 1.0173,                0.98477,                0.96515,                  0.991,                0.63422,                 1.2853,                0.56464,                 1.1613,              0.0014588,              0.0014588,              0.0014588
                     85,                0.62651,                0.41761,                 1.0238,                0.94728,                0.98331,                0.98908,                0.62814,                 1.2929,                0.55364,                 1.1858,              0.0014522,              0.0014522,              0.0014522
